Fair Market Rent,Price,County,State
636,636,Terre Haute, IN HUD Metro FMR Area
599,599,Sullivan County, IN HUD Metro FMR Area
706,706,South Bend-Mishawaka, IN HUD Metro FMR Area
640,640,Elkhart-Goshen, IN MSA
764,764,Columbus, IN MSA
632,632,Fort Wayne, IN MSA
579,579,Kokomo, IN MSA
578,578,Muncie, IN MSA
602,602,Michigan City-La Porte, IN MSA
670,670,Evansville, IN-KY MSA
545,545,Cloud County, KS
545,545,Comanche County, KS
546,546,Cowley County, KS
545,545,Hodgeman County, KS
616,616,Jewell County, KS
545,545,Kearny County, KS
630,630,Kiowa County, KS
545,545,Lane County, KS
611,611,Finney County, KS
596,596,Ford County, KS
613,613,Franklin County, KS
687,687,Geary County, KS
545,545,Scott County, KS
595,595,Seward County, KS
579,579,Sheridan County, KS
595,595,Sherman County, KS
630,630,Smith County, KS
545,545,Stafford County, KS
549,549,Stanton County, KS
570,570,Lincoln County, KS
545,545,Logan County, KS
545,545,Lyon County, KS
565,565,McPherson County, KS
545,545,Marion County, KS
545,545,Marshall County, KS
555,555,Meade County, KS
545,545,Atchison County, KS
545,545,Barber County, KS
545,545,Barton County, KS
545,545,Bourbon County, KS
545,545,Brown County, KS
545,545,Chase County, KS
545,545,Wilson County, KS
545,545,Woodson County, KS
562,562,Crawford County, KS
545,545,Decatur County, KS
545,545,Mitchell County, KS
545,545,Montgomery County, KS
545,545,Morris County, KS
545,545,Morton County, KS
553,553,Nemaha County, KS
556,556,Neosho County, KS
590,590,Gove County, KS
545,545,Dickinson County, KS
545,545,Edwards County, KS
598,598,Elk County, KS
562,562,Ellis County, KS
571,571,Ellsworth County, KS
552,552,Stevens County, KS
545,545,Thomas County, KS
545,545,Trego County, KS
545,545,Wallace County, KS
592,592,Washington County, KS
545,545,Wichita County, KS
545,545,Harper County, KS
545,545,Haskell County, KS
629,629,Graham County, KS
545,545,Grant County, KS
549,549,Gray County, KS
545,545,Greeley County, KS
590,590,Greenwood County, KS
545,545,Hamilton County, KS
545,545,Allen County, KS
545,545,Anderson County, KS
630,630,Ness County, KS
630,630,Norton County, KS
594,594,Osborne County, KS
545,545,Chautauqua County, KS
549,549,Cherokee County, KS
630,630,Cheyenne County, KS
622,622,Clark County, KS
569,569,Clay County, KS
602,602,Rice County, KS
545,545,Rooks County, KS
589,589,Rush County, KS
545,545,Russell County, KS
610,610,Saline County, KS
625,625,Republic County, KS
563,563,Ottawa County, KS
630,630,Pawnee County, KS
630,630,Phillips County, KS
579,579,Pratt County, KS
545,545,Rawlins County, KS
595,595,Reno County, KS
561,561,Coffey County, KS
545,545,Labette County, KS
658,658,Wichita, KS HUD Metro FMR Area
599,599,Kingman County, KS HUD Metro FMR Area
576,576,Sumner County, KS HUD Metro FMR Area
756,756,Lawrence, KS MSA
720,720,Manhattan, KS MSA
608,608,Topeka, KS MSA
516,516,Martin County, KY
515,515,Menifee County, KY
582,582,Morgan County, KY
520,520,Muhlenberg County, KY
550,550,Nelson County, KY
534,534,Ohio County, KY
520,520,Fulton County, KY
556,556,Garrard County, KY
503,503,Graves County, KY
551,551,Grayson County, KY
503,503,Green County, KY
548,548,Harlan County, KY
503,503,Harrison County, KY
574,574,Clay County, KY
518,518,Lee County, KY
503,503,Lincoln County, KY
524,524,Lyon County, KY
503,503,Hart County, KY
503,503,Adair County, KY
635,635,Anderson County, KY
527,527,Ballard County, KY
542,542,Clinton County, KY
503,503,Crittenden County, KY
515,515,Cumberland County, KY
562,562,Boyle County, KY
582,582,Carroll County, KY
578,578,Casey County, KY
554,554,Madison County, KY
548,548,Magoffin County, KY
571,571,Marion County, KY
503,503,Todd County, KY
503,503,Elliott County, KY
503,503,Estill County, KY
503,503,Fleming County, KY
503,503,Floyd County, KY
654,654,Franklin County, KY
531,531,Hopkins County, KY
515,515,Jackson County, KY
503,503,Johnson County, KY
515,515,Knott County, KY
507,507,Knox County, KY
552,552,Laurel County, KY
503,503,Lawrence County, KY
515,515,Leslie County, KY
566,566,Letcher County, KY
555,555,Lewis County, KY
527,527,Livingston County, KY
532,532,Logan County, KY
551,551,Barren County, KY
530,530,Bath County, KY
575,575,Bell County, KY
503,503,Breathitt County, KY
557,557,Breckinridge County, KY
582,582,Caldwell County, KY
619,619,Calloway County, KY
553,553,Union County, KY
556,556,Carlisle County, KY
503,503,Carter County, KY
514,514,Washington County, KY
515,515,Hickman County, KY
516,516,Mercer County, KY
577,577,Metcalfe County, KY
503,503,Nicholas County, KY
503,503,Robertson County, KY
534,534,Russell County, KY
576,576,Simpson County, KY
515,515,McCreary County, KY
650,650,Marshall County, KY
503,503,Monroe County, KY
550,550,Mason County, KY
503,503,Owen County, KY
515,515,Owsley County, KY
575,575,Perry County, KY
566,566,Pike County, KY
575,575,Powell County, KY
